Term	boolean	country	day	establishmentMeans	institutionCode	lifeStage	month	plateWell	processingLab	sequencingLab	sex	typeStatus	year
					CMNH								
					CMNS								
					CMNZ								
					CMPH<IH>								
					CMPR<IH>								
					CMS<IH>								
					CMSK								
					CMSU								
					CMU<IH>								
					CMUT								
					CMV<IH>								
					CMW								
					CMY<IH>								
					CN								
					CN<IH>								
					CNC								
					CNCI								
					CNCM								
					CNCTC								
					CNCTC<IH>								
					CNE<IH>								
					CNEN-LABPC								
					CNF<IH>								
					CNH<IH>								
					CNHM								
					CNHM<IH>								
					CNHP								
					CNHS								
					CNIN								
					CNM-CM								
					CNM<IH>								
					CNMC								
					CNMS								
					CNPO<IH>								
					CNPS								
					CNR<IH>								
					CNRO								
					CNRS								
					CNRZ								
					CNS								
					CNS<IH>								
					CNSF<IH>								
					CNU								
					CNU<IH>								
					CNWGRGL								
					CO<IH>								
					COA								
					COA<IH>								
					COAH<IH>								
					COCA<IH>								
					COCH<IH>								
					COCO<IH>								
					CODAGEM<IH>								
					CODIMAR								
					COFC<IH>								
					COI<IH>								
					COL<IH>								
					COLG<IH>								
					COLM								
					COLO<IH>								
					COLOM<IH>								
					COM								
					CON<IH>								
					CONC<IH>								
					CONN <IH>								
					CONV<IH>								
					COP								
					COR<IH>								
					CORB<IH>								
					CORBIDI								
					CORD<IH>								
					CORO<IH>								
					CORT<IH>								
					CORU<IH>								
					COV<IH>								
					COVY<IH>								
					CP<IH>								
					CPAC								
					CPAP								
					CPAP<IH>								
					CPATU								
					CPB<IH>								
					CPC								
					CPCC								
					CPDC								
					CPF<IH>								
					CPH<IH>								
					CPHS								
					CPM								
					CPMM								
					CPNP<IH>								
